Timestamp,Transacao ID,Data,Valor,Bandeira,Banco Emissor,Mensagem Processamento,Status Transacao
2024-01-15 12:08:13,85a8-c06b2f39d6b4,1705320493639,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:13,84b6-bc915a2fd116,1705320493224,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:13,ae96-18d39d9b6af0,1705320493042,200,visa,Itau Unibanco Holding S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:08:12,9743-6b30996b9fd4,1705320492984,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:12,9a21-361b8264cb80,1705320492016,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:11,a444-9bde6a6e1ea4,1705320491939,20877,mastercard,ITAU UNIBANCO S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:08:11,8c3d-d4c3f5b226bc,1705320491332,2990,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADA,DECLINED
2024-01-15 12:08:10,939b-ff08b77ca20d,1705320490596,495,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:10,ac2d-b3d9fad3b744,1705320490537,11200,mastercard,BANCO INTER S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:08:09,b066-58f20a6ff4cc,1705320489995,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:09,a5fd-ff4359219fd1,1705320489709,11000,mastercard,BANCO SANTANDER (BRASIL) S.A.,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED
2024-01-15 12:08:09,be3e-751f35c9b382,1705320489618,69000,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:09,bc7b-cb396301c932,1705320489354,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:09,98e3-a2ba78c78fb4,1705320489140,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:08,a453-26affa61479a,1705320488867,38707,elo,Pernambucanas Financiadora SA Cred Fin e,SUCESSO,PAID
2024-01-15 12:08:07,afe6-6602a777b22f,1705320487187,3921,visa,Banco Bradesco S.A.,SUCESSO,PAID
2024-01-15 12:08:06,a165-00a8ee55da41,1705320486739,8098,mastercard,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID
2024-01-15 12:08:06,821e-c53bcf5056f3,1705320486593,33240,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:04,809f-b52773ac9aa0,1705320484645,36299,visa,Banco do Brasil S.A.,QTDADE DE TENTATIVAS EXCEDIDAS - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:08:03,a04d-1a882857ac3a,1705320483551,100,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:02,b9bd-bf69f47662a4,1705320482978,94820,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:02,bf90-95e48e22f737,1705320482321,100,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:02,a0e4-7fc84f639e0f,1705320482070,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:01,a9a8-0c848ab1087c,1705320481564,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:01,9613-c7ffaf3fba6d,1705320481344,1030,visa,Banco Santander S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:08:01,b56e-492118850b80,1705320481292,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:01,a8b2-4ae5fa500a7e,1705320481266,4900,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:00,a308-48f96e9941e5,1705320480537,2475,visa,Banco Santander S.A.,SUCESSO,PAID
2024-01-15 12:08:00,bcee-b45c62b8056b,1705320480442,58173,visa,Banco Bradesco S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:07:59,b672-dc52b4e4f3ec,1705320479819,19500,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
