,timestamp,transacao_id,data,valor,bandeira,banco_emissor,mensagem_processamento,status_transacao,reference_month,part_of_day,year,month,day,day_name,hour,minutes
56,2024-01-15 12:15:33,b129-15bc8f0c633b,1705320933141,1990,MASTERCARD,BANCO C6 S.A.,TRANSACAO NAO PERMITIDA - NAO TENTE NOVAMENTE,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
57,2024-01-15 12:15:32,892c-6385806f938e,1705320932768,2750,MASTERCARD,ITAU UNIBANCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
58,2024-01-15 12:15:32,8f19-b299986ff29f,1705320932624,100000,MASTERCARD,ITAU UNIBANCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
59,2024-01-15 12:15:32,ace9-b444be18d57a,1705320932208,180000,MASTERCARD,ITAU UNIBANCO S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
60,2024-01-15 12:15:31,a1d0-bb6c441167ce,1705320931767,200,VISA,BANCO DO BRASIL S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
61,2024-01-15 12:15:31,9b18-5c07e2845f2e,1705320931663,495,VISA,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
62,2024-01-15 12:15:31,a86a-6466d6aadcf0,1705320931426,34752,VISA,LUIZACRED S.A. SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,NAO AUTORIZADA,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
63,2024-01-15 12:15:30,990c-1097fef4cd87,1705320930988,6600,ELO,PERNAMBUCANAS FINANCIADORA S.A. CRED FIN E,VERIFIQUE OS DADOS DO CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
64,2024-01-15 12:15:30,a269-caa96699f596,1705320930805,28400,VISA,BANCO SANTANDER S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
65,2024-01-15 12:15:30,9d11-7bf90209656d,1705320930761,100,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
66,2024-01-15 12:15:29,b625-444c00e43886,1705320929413,86440,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
67,2024-01-15 12:15:29,9642-85dd41a73d26,1705320929055,1990,MASTERCARD,BANCO C6 S.A.,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
68,2024-01-15 12:15:28,b1de-5bf6cced3626,1705320928916,2000,MASTERCARD,CRED-SYSTEM ADMINISTRADORA DE,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
69,2024-01-15 12:15:28,bcb2-b99d0bba19e7,1705320928845,63000,VISA,ITAU UNIBANCO HOLDING S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
70,2024-01-15 12:15:28,9cc9-39c4f935f6d2,1705320928245,1990,MASTERCARD,BANCO C6 S.A.,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
71,2024-01-15 12:15:27,b5ed-a33492d65c30,1705320927931,100,MASTERCARD,ITAU UNIBANCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
72,2024-01-15 12:15:27,8936-1fa2d7b10b01,1705320927748,13158,MASTERCARD,BANCO DO BRASIL S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
73,2024-01-15 12:15:27,a39e-c3e1992fec96,1705320927615,5402,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
74,2024-01-15 12:15:26,a710-53196857c0a4,1705320926757,5409,VISA,REALIZE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
75,2024-01-15 12:15:26,8777-016bce8a052a,1705320926753,100,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
76,2024-01-15 12:15:26,b77e-406eb4757173,1705320926068,2994,VISA,BANCO BRADESCO S.A.,QTDADE DE TENTATIVAS EXCEDIDAS - NAO TENTE NOVAMENTE,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
77,2024-01-15 12:15:25,a740-3ab1b14e021a,1705320925823,300,VISA,LUIZACRED S.A. SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
78,2024-01-15 12:15:25,9f69-9052d9158587,1705320925580,20234,VISA,NEON PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
79,2024-01-15 12:15:25,8d40-275fcd0d32bb,1705320925551,495,MASTERCARD,BANCO INTER S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
80,2024-01-15 12:15:25,b936-500d2523d68e,1705320925531,100,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
81,2024-01-15 12:15:25,b6d6-f6f4914e68b4,1705320925506,9635,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
82,2024-01-15 12:15:25,bd3b-02039b57b60a,1705320925373,14852,MASTERCARD,BANCO CSF S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
83,2024-01-15 12:15:25,9b10-50bcd1bf4f18,1705320925038,5749,MASTERCARD,BANCO SANTANDER (BRASIL) S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
84,2024-01-15 12:15:25,b065-7e1ed17c0e30,1705320925018,1750,MASTERCARD,BANCO INTER S.A.,NAO AUTORIZADA,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
85,2024-01-15 12:15:24,928f-79a42f8c021b,1705320924756,42348,MASTERCARD,BANCO C6 S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
86,2024-01-15 12:15:24,9529-b8a39d528ee1,1705320924704,1003200,VISA,BANCO SAFRA S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
87,2024-01-15 12:15:24,8a31-07742d5227bc,1705320924137,48300,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
88,2024-01-15 12:15:23,87a2-a47a17c2144d,1705320923494,15700,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
89,2024-01-15 12:15:23,94ac-7ece2e584247,1705320923177,6600,MASTERCARD,CRED-SYSTEM ADMINISTRADORA DE,VERIFIQUE OS DADOS DO CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
90,2024-01-15 12:15:22,b810-441fceef140b,1705320922831,705,MASTERCARD,NU PAGAMENTOS S.A.,NAO AUTORIZADO PELO EMISSOR DO CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
91,2024-01-15 12:15:22,87d7-5df7fe1b6526,1705320922253,3801,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
92,2024-01-15 12:15:21,b3a1-06b136fa709e,1705320921936,11741,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
93,2024-01-15 12:15:21,a0ad-d135703411e8,1705320921340,28400,VISA,BANCO SANTANDER S.A.,DESBLOQUEIE O CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
94,2024-01-15 12:15:21,8c16-77432a067e99,1705320921162,4000,VISA,PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
95,2024-01-15 12:15:21,a90b-383ed5927861,1705320921086,700,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
96,2024-01-15 12:15:20,9650-7098eb2f521f,1705320920999,100,VISA,PAGSEGURO INTERNET S.A,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
97,2024-01-15 12:15:20,9489-7d61c9537cce,1705320920789,100,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
98,2024-01-15 12:15:20,8740-13aa05faa506,1705320920675,3990,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
99,2024-01-15 12:15:20,b148-b00cce3fee6b,1705320920058,22340,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
100,2024-01-15 12:15:20,a7d4-1fa4686e1b43,1705320920021,100,MASTERCARD,ITAU UNIBANCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
101,2024-01-15 12:15:19,b065-806b35bed4c4,1705320919898,6000,VISA,BANCO BRADESCO S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
102,2024-01-15 12:15:19,a78a-dc225456e704,1705320919634,100,MASTERCARD,ITAU UNIBANCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
103,2024-01-15 12:15:19,adc7-28db6941ccae,1705320919595,100,ELO,FACTA FINANCEIRA S.A. CREDITO FINAN E INVE,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
104,2024-01-15 12:15:19,ba6d-cebeee692647,1705320919182,10410,MASTERCARD,BANCO CSF S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
105,2024-01-15 12:15:18,b9eb-526449d7723b,1705320918684,100,ELO,FACTA FINANCEIRA S.A. CREDITO FINAN E INVE,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
106,2024-01-15 12:15:18,bc9b-bc68797c9214,1705320918331,21900,VISA,ITAU UNIBANCO HOLDING S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
107,2024-01-15 12:15:17,8d46-2e9df018e624,1705320917564,19700,MASTERCARD,BANCO SANTANDER (BRASIL) S.A.,NAO AUTORIZADA,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
108,2024-01-15 12:15:16,b33e-4b547c349cf3,1705320916178,90466,MASTERCARD,BANCO ORIGINAL,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
109,2024-01-15 12:15:16,b6ac-ed9ecb335833,1705320916166,4990,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
110,2024-01-15 12:15:14,9be8-3297eb1e9f89,1705320914650,10706,MASTERCARD,ITAU UNIBANCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
111,2024-01-15 12:15:14,8de7-186b0259bdf9,1705320914538,495,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
112,2024-01-15 12:15:14,86c9-65abab80d930,1705320914523,13772,MASTERCARD,NU PAGAMENTOS S.A.,NAO AUTORIZADA,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
113,2024-01-15 12:15:13,aeb0-2fb094acd20b,1705320913951,232320,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
114,2024-01-15 12:15:13,99c8-8a3af41f9beb,1705320913526,62094,MASTERCARD,BANCO PAN S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
115,2024-01-15 12:15:12,a1e0-a3d3be561c45,1705320912090,8900,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
116,2024-01-15 12:15:11,bc92-d9a700f8819a,1705320911357,31770,VISA,BANCO SANTANDER S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
